Year,Series,Type of Renewable Technology,Units,Value
2016,Installed renewable electricity-generating capacity (watts per capita),,watts per capita,11.32
2016,Installed renewable electricity-generating capacity (watts per capita),Bioenergy,watts per capita,0.05
2016,Installed renewable electricity-generating capacity (watts per capita),Geothermal,watts per capita,0
2016,Installed renewable electricity-generating capacity (watts per capita),Hydropower,watts per capita,11.19
2016,Installed renewable electricity-generating capacity (watts per capita),Marine,watts per capita,0
2016,Installed renewable electricity-generating capacity (watts per capita),Solar,watts per capita,0.07
2016,Installed renewable electricity-generating capacity (watts per capita),Wind,watts per capita,0
2017,Installed renewable electricity-generating capacity (watts per capita),,watts per capita,11.06
2017,Installed renewable electricity-generating capacity (watts per capita),Bioenergy,watts per capita,0.05
2017,Installed renewable electricity-generating capacity (watts per capita),Geothermal,watts per capita,0
2017,Installed renewable electricity-generating capacity (watts per capita),Hydropower,watts per capita,10.91
2017,Installed renewable electricity-generating capacity (watts per capita),Marine,watts per capita,0
2017,Installed renewable electricity-generating capacity (watts per capita),Solar,watts per capita,0.10
2017,Installed renewable electricity-generating capacity (watts per capita),Wind,watts per capita,0
2018,Installed renewable electricity-generating capacity (watts per capita),,watts per capita,10.81
2018,Installed renewable electricity-generating capacity (watts per capita),Bioenergy,watts per capita,0.05
2018,Installed renewable electricity-generating capacity (watts per capita),Geothermal,watts per capita,0
2018,Installed renewable electricity-generating capacity (watts per capita),Hydropower,watts per capita,10.64
2018,Installed renewable electricity-generating capacity (watts per capita),Marine,watts per capita,0
2018,Installed renewable electricity-generating capacity (watts per capita),Solar,watts per capita,0.12
2018,Installed renewable electricity-generating capacity (watts per capita),Wind,watts per capita,0
2019,Installed renewable electricity-generating capacity (watts per capita),,watts per capita,10.61
2019,Installed renewable electricity-generating capacity (watts per capita),Bioenergy,watts per capita,0.05
2019,Installed renewable electricity-generating capacity (watts per capita),Geothermal,watts per capita,0
2019,Installed renewable electricity-generating capacity (watts per capita),Hydropower,watts per capita,10.38
2019,Installed renewable electricity-generating capacity (watts per capita),Marine,watts per capita,0
2019,Installed renewable electricity-generating capacity (watts per capita),Solar,watts per capita,0.17
2019,Installed renewable electricity-generating capacity (watts per capita),Wind,watts per capita,0
2020,Installed renewable electricity-generating capacity (watts per capita),,watts per capita,10.44
2020,Installed renewable electricity-generating capacity (watts per capita),Bioenergy,watts per capita,0.07
2020,Installed renewable electricity-generating capacity (watts per capita),Geothermal,watts per capita,0
2020,Installed renewable electricity-generating capacity (watts per capita),Hydropower,watts per capita,10.13
2020,Installed renewable electricity-generating capacity (watts per capita),Marine,watts per capita,0
2020,Installed renewable electricity-generating capacity (watts per capita),Solar,watts per capita,0.24
2020,Installed renewable electricity-generating capacity (watts per capita),Wind,watts per capita,0
2021,Installed renewable electricity-generating capacity (watts per capita),,watts per capita,10.32
2021,Installed renewable electricity-generating capacity (watts per capita),Bioenergy,watts per capita,0.10
2021,Installed renewable electricity-generating capacity (watts per capita),Geothermal,watts per capita,0
2021,Installed renewable electricity-generating capacity (watts per capita),Hydropower,watts per capita,9.89
2021,Installed renewable electricity-generating capacity (watts per capita),Marine,watts per capita,0
2021,Installed renewable electricity-generating capacity (watts per capita),Solar,watts per capita,0.32
2021,Installed renewable electricity-generating capacity (watts per capita),Wind,watts per capita,0
2022,Installed renewable electricity-generating capacity (watts per capita),,watts per capita,10.09
2022,Installed renewable electricity-generating capacity (watts per capita),Bioenergy,watts per capita,0.10
2022,Installed renewable electricity-generating capacity (watts per capita),Geothermal,watts per capita,0
2022,Installed renewable electricity-generating capacity (watts per capita),Hydropower,watts per capita,9.66
2022,Installed renewable electricity-generating capacity (watts per capita),Marine,watts per capita,0
2022,Installed renewable electricity-generating capacity (watts per capita),Solar,watts per capita,0.33
2022,Installed renewable electricity-generating capacity (watts per capita),Wind,watts per capita,0
