Year,Series,activity,Units,Value
2019,Number of companies publishing sustainability reports,Number,1
2019,Number of companies publishing sustainability reports,Finance and Insurance activities,Number,1
2020,Number of companies publishing sustainability reports,Number,2
2020,Number of companies publishing sustainability reports,Mining and quarrying,Number,1
2020,Number of companies publishing sustainability reports,Finance and Insurance activities,Number,1
2021,Number of companies publishing sustainability reports,Number,5
2021,Number of companies publishing sustainability reports,Mining and quarrying,Number,1
2021,Number of companies publishing sustainability reports,Finance and Insurance activities,Number,4
2022,Number of companies publishing sustainability reports,Number,5
2022,Number of companies publishing sustainability reports,Mining and quarrying,Number,1
2022,Number of companies publishing sustainability reports,Finance and Insurance activities,Number,4
